source_path,file_type,size,sha256,purpose,related_module,destination_path,action,reason,test_status
'@ + $zipPath + @',data-or-source,2593,cab4294e4203314cc6d1f8c702c26763c04243eabcdad07981cd2acf7b833f1c,source repository reference material,'@ + $zipPath + @',10_archive/sanda_ss928/source-reference/'@ + $zipPath + @',ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
.gitattributes,data-or-source,840,c6254fc2e004c4ba74ff791ca49993b5d0717e974b3be3d74671ef7d724a96b5,source repository reference material,repository-metadata,,DEDUPLICATE,temporary or duplicate source location is replaced by the canonical target module,not_applicable
.gitignore,data-or-source,1373,3cdffbde37a7f94282ac39654fd40460a861f913039f94595bfe851b47b5e8ee,source repository reference material,repository-metadata,,DEDUPLICATE,temporary or duplicate source location is replaced by the canonical target module,not_applicable
01. 快速使用指南【必看】/产品规格书/海鸥派Euler Pi产品规格书V2.0.pdf,document-binary,8686947,16ea540c03d0816e1e35ad9ad2030a0ae8a761f6065785d910a5de1a19c3767b,vendor platform quick-start reference,vendor-platform-guide,10_archive/sanda_ss928/source-reference/01. 快速使用指南【必看】/产品规格书/海鸥派Euler Pi产品规格书V2.0.pdf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
01. 快速使用指南【必看】/产品规格书/预留IO引脚复用图.xlsx,document-binary,14139,20af57828af48c68bfcd453cd34fe5119da6b70e4b995a63e809c6dccc5e265b,vendor platform quick-start reference,vendor-platform-guide,10_archive/sanda_ss928/source-reference/01. 快速使用指南【必看】/产品规格书/预留IO引脚复用图.xlsx,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
01. 快速使用指南【必看】/海鸥派2.0 资料目录介绍.pdf,document-binary,418043,2caeb60f9e473f31816beb6632d3ec06f8e30e7626339d18194af16ae8a07f8d,vendor platform quick-start reference,vendor-platform-guide,10_archive/sanda_ss928/source-reference/01. 快速使用指南【必看】/海鸥派2.0 资料目录介绍.pdf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
02. 硬件连接与功能测试/海鸥派快速体验手册（例程验证）.pdf,document-binary,18655078,6891c8176d8e4da44b977626c745ad9ab937be61bd3506ceb7d7cec36cf5cf80,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/02. 硬件连接与功能测试/海鸥派快速体验手册（例程验证）.pdf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/01.产品规格书/G928-5550C核心板产品规格手册V2.0.pdf,document-binary,3767634,633f1eef878c0454269061e12de7853b013fca04eacf154dec34a9461d2e9eb7,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/01.产品规格书/G928-5550C核心板产品规格手册V2.0.pdf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/02.机械尺寸图/G928-5550C-V1.0.dxf,cad,1719460,9f942397469c8b1ee84556bb4420b5273cb29afa2fbd9c9e38eac82fb61cab68,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/02.机械尺寸图/G928-5550C-V1.0.dxf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/03.丝印图/G928-5550C-V1.0位号丝印图.pdf,document-binary,1093716,f6cbcec55afed87aa74cefef9a24c92f22563dbdd979dd7885825ceb3df27075,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/03.丝印图/G928-5550C-V1.0位号丝印图.pdf,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
